iter	MAE	RMSE
0	1325.063204	1687.914891
1	1302.702597	1662.389998
2	1302.672716	1662.351258
3	1276.889706	1632.969944
4	1275.650814	1631.858003
5	1251.396511	1604.508641
6	1251.063282	1604.191256
7	1228.688595	1579.320175
8	1228.198686	1578.895912
9	1207.103958	1556.006853
10	1206.693445	1555.609135
11	1186.316802	1533.952902
12	1186.313986	1533.937967
13	1167.491865	1514.379649
14	1167.480131	1514.376899
15	1149.952597	1496.478945
16	1149.914972	1496.430664
17	1133.912156	1480.155511
18	1133.91286	1480.150802
19	1118.67475	1464.943362
20	1118.671699	1464.93527
21	1105.071965	1451.418061
22	1105.070635	1451.406913
23	1091.884074	1438.810912
24	1091.877816	1438.78714
25	1080.279725	1427.732028
26	1080.068132	1427.54407
27	1068.758213	1416.812506
28	1068.758996	1416.807361
29	1058.378207	1407.015243
30	1058.381023	1407.002947
31	1048.399797	1397.897309
32	1047.519399	1397.2789
33	1038.344962	1389.056315
34	1038.327362	1389.051241
35	1031.829944	1382.792212
36	1031.827362	1382.785435
37	1023.831977	1375.771381
38	1021.819384	1373.728427
39	1021.592303	1373.577808
40	1014.332838	1367.450226
41	1014.106539	1367.304363
42	1012.558589	1365.414122
43	1012.557728	1365.40896
44	1006.088079	1359.849509
45	1006.085732	1359.845151
46	1000.343711	1355.087291
47	1000.228411	1355.013342
48	996.1009074	1351.161977
49	994.8125782	1350.218227
50	994.811092	1350.208261
51	989.6057572	1346.09575
52	989.5633605	1346.067901
53	985.0037547	1342.519239
54	985.0004693	1342.516614
55	980.7449155	1339.144157
56	980.7423342	1339.142004
57	976.5505319	1335.881553
58	976.5454474	1335.879814
59	972.837766	1333.109642
60	972.8340113	1333.107899
61	970.2574312	1330.933443
62	970.2569618	1330.933383
63	966.9191959	1328.495949
64	966.9148154	1328.489498
65	964.6749061	1326.449326
66	964.671699	1326.443287
67	962.6473717	1324.591128
68	962.6445557	1324.585444
69	959.4775501	1322.406302
70	959.3751564	1322.300237
71	958.8479349	1321.721182
72	958.7612641	1321.643851
73	956.1742021	1319.802071
74	956.1027847	1319.762439
75	953.6918023	1318.02068
76	953.688908	1318.018371
77	951.5064143	1316.554505
78	951.5055538	1316.553288
79	951.2816802	1316.37337
80	950.607087	1315.600542
81	950.5554599	1315.544527
82	949.1852315	1314.440844
83	949.0615613	1314.400746
84	947.2869212	1313.16472
85	946.9493116	1313.026187
86	945.3310388	1311.744595
87	945.3254068	1311.739954
88	943.9645651	1310.832534
89	943.1619212	1310.29102
90	942.2660357	1309.406209
91	942.223326	1309.380455
92	941.9617491	1309.127292
93	941.9558041	1309.123499
94	940.3330726	1308.22902
95	940.2990457	1308.200549
96	939.2331039	1307.471228
97	939.228567	1307.468593
98	939.0900344	1307.357886
99	939.0858104	1307.355435
100	937.6417397	1306.595542
101	937.6380632	1306.591802
102	936.9769243	1305.906605
103	936.9783323	1305.901759
104	936.3304912	1305.172565
105	936.3266583	1305.168085
106	935.7611076	1304.570496
107	935.7583698	1304.569084
108	935.6406446	1304.490552
109	935.6343867	1304.487543
110	934.6525344	1303.9445
111	934.5692272	1303.836749
112	934.5086045	1303.77433
113	934.5030507	1303.76917
114	933.8559919	1303.21292
115	933.8568523	1303.21292
116	932.8150814	1302.691605
117	932.8156289	1302.691543
118	932.4533792	1302.394644
119	932.4440707	1302.383881
120	932.361311	1302.34372
121	932.1537078	1302.126959
122	932.1528473	1302.126344
123	931.7832447	1301.84193
124	931.7823842	1301.841253
125	931.5454474	1301.617701
126	931.544587	1301.617025
127	931.2145651	1301.329791
128	931.21347	1301.328621
129	931.0956665	1301.263312
130	931.0916771	1301.25414
131	930.5919118	1300.827979
132	930.5927722	1300.827979
133	929.7047872	1300.420404
134	929.7022059	1300.418371
135	929.4284262	1300.069385
136	929.4292084	1300.069446
137	929.3038955	1300.008695
138	929.0959793	1299.773736
139	929.0967616	1299.773736
140	928.854975	1299.581633
141	928.846918	1299.571525
142	928.5002347	1299.21109
143	928.5010169	1299.210967
144	928.0838548	1298.746884
145	928.084637	1298.746823
146	927.7091677	1298.324281
147	927.7083855	1298.323232
148	927.6454944	1298.294667
149	927.6461202	1298.294605
150	927.5890957	1298.25518
151	927.5873748	1298.252712
152	927.50352	1298.211991
153	927.4796621	1298.174415
154	927.4623748	1298.1717
155	927.3649875	1298.039527
156	927.3656133	1298.038725
157	927.0604662	1297.703974
158	927.0552253	1297.701876
159	926.9855288	1297.671075
160	926.9846683	1297.670334
161	926.8747653	1297.463782
162	926.8743742	1297.462177
163	926.7852785	1297.369384
164	926.7850438	1297.367841
165	926.7410826	1297.325486
166	926.6996245	1297.315113
167	926.6762359	1297.302765
168	926.3214956	1297.044157
169	926.3196965	1297.041995
170	926.284418	1297.009882
171	926.2833229	1297.009141
172	926.2496871	1296.990737
173	926.2496089	1296.990119
174	926.2176158	1296.97505
175	926.1947747	1296.964427
176	926.105679	1296.847326
177	926.1063048	1296.846585
178	925.8616239	1296.561692
179	925.8621715	1296.561753
180	925.7280976	1296.396732
181	925.7288798	1296.396361
182	925.6077128	1296.251834
183	925.6080257	1296.251772
184	925.4328066	1296.133432
185	925.4171621	1296.115262
186	925.2259856	1295.921319
187	925.2266114	1295.921381
188	925.0682103	1295.75059
189	925.0675063	1295.750343
190	925.035122	1295.722648
191	925.0334011	1295.721845
192	924.6594962	1295.451173
193	924.658714	1295.450988
194	924.4917084	1295.211429
195	924.4921777	1295.211491
196	924.3987015	1295.137586
197	924.3996402	1295.137091
198	924.313908	1295.058358
199	924.3077284	1295.058172
200	924.2762829	1295.023907
201	924.2812891	1295.007268
202	924.2374844	1294.944795
203	924.2383448	1294.944795
204	924.1104506	1294.692151
205	924.1082603	1294.688067
206	924.0469337	1294.532707
207	924.0466208	1294.532645
208	923.8556008	1294.267356
209	923.8554443	1294.267295
210	923.8340113	1294.229852
211	923.7976377	1294.174459
212	923.7974812	1294.174521
213	923.737015	1294.122715
214	923.7368586	1294.122715
215	923.5607791	1293.881982
216	923.5611702	1293.881982
217	923.4712922	1293.7555
218	923.4684762	1293.748752
219	923.4428191	1293.736431
220	923.4040207	1293.722191
221	923.4048029	1293.722067
222	923.3168023	1293.630492
223	923.3180538	1293.63012
224	923.0924593	1293.373503
225	923.0922247	1293.373255
226	922.8710106	1293.198288
227	922.8714018	1293.198226
228	922.8672559	1293.19612
229	922.8326033	1293.179582
230	922.7124531	1293.081031
231	922.71347	1293.079978
232	922.6357165	1293.013137
233	922.6357947	1293.013199
234	922.5135325	1292.824367
235	922.5138454	1292.824305
236	922.0184606	1292.533692
237	922.0179912	1292.533568
238	922.0039111	1292.529726
239	922.004224	1292.529664
240	922.00352	1292.526317
241	921.8595901	1292.28696
242	921.8494212	1292.275183
243	921.6827284	1292.127963
244	921.6719337	1292.122198
245	921.3042084	1291.901801
246	921.3039737	1291.901181
247	921.1925845	1291.733951
248	921.1725594	1291.720619
249	921.1682572	1291.714418
250	921.1413486	1291.706419
251	921.1239049	1291.68149
252	921.032306	1291.646825
253	921.0314456	1291.64453
254	921.0180695	1291.638577
255	920.9878755	1291.61712
256	920.9630788	1291.610174
257	920.8717146	1291.499285
258	920.823373	1291.466413
259	920.6404881	1291.219726
260	920.6400188	1291.219416
261	920.6291458	1291.218919
262	920.6149875	1291.191934
263	920.4647215	1290.986269
264	920.4656602	1290.9854
265	920.3552879	1290.879298
266	920.3550532	1290.87905
267	920.2004068	1290.759907
268	920.1716208	1290.744951
269	920.1130319	1290.707964
270	920.1135795	1290.707902
271	920.0528786	1290.639015
272	919.9795056	1290.567579
273	919.8270494	1290.405763
274	919.8272841	1290.405639
275	919.8017053	1290.391176
276	919.6810075	1290.276023
277	919.6810857	1290.276085
278	919.6479975	1290.221329
279	919.6435388	1290.212327
280	919.6334481	1290.200097
281	919.6112328	1290.197552
282	919.2424906	1289.905291
283	919.2442897	1289.904856
284	919.1140488	1289.771526
285	919.1106852	1289.76929
286	919.0219024	1289.634951
287	919.0198686	1289.634579
288	918.958229	1289.571348
289	918.954709	1289.559733
290	918.9554912	1289.559671
291	918.9195088	1289.527061
292	918.883761	1289.513581
293	918.825485	1289.430591
294	918.8262672	1289.430467
295	918.7914581	1289.361325
296	918.7733886	1289.33399
297	918.7409262	1289.251858
298	918.7415519	1289.250864
299	918.7250469	1289.241669
300	918.7267678	1289.240985
301	918.5569462	1288.994182
302	918.5574155	1288.99412
303	918.4228723	1288.832356
304	918.424515	1288.832107
305	918.3962766	1288.795128
306	918.3278317	1288.703576
307	918.3287703	1288.697982
308	918.3047559	1288.651861
309	918.3007666	1288.645148
310	918.2613423	1288.596291
311	918.2390488	1288.579942
312	918.1348561	1288.430559
313	918.135169	1288.42944
314	918.053035	1288.328599
315	918.0528786	1288.328599
316	918.0319149	1288.310941
317	918.0023467	1288.24547
318	918.0021902	1288.245345
319	917.9895181	1288.205675
320	917.9895181	1288.204681
321	917.9701189	1288.188452
322	917.9713705	1288.187457
323	917.9086358	1288.08672
324	917.9087922	1288.086596
325	917.8911921	1288.068376
326	917.8803974	1288.060416
327	917.7949781	1287.85792
328	917.7946652	1287.85792
329	917.7722153	1287.840256
330	917.7734668	1287.839821
331	917.7682259	1287.820415
332	917.7404568	1287.812951
333	917.7415519	1287.81264
334	917.7161295	1287.765369
335	917.7174593	1287.765058
336	917.6936014	1287.722138
337	917.6936796	1287.722076
338	917.0527222	1287.419734
339	917.0520964	1287.418676
340	917.0165832	1287.412766
341	917.0161139	1287.412828
342	916.9980444	1287.382901
343	916.9977315	1287.382092
344	916.9576033	1287.367657
345	916.9590895	1287.367159
346	916.9405507	1287.340467
347	916.9407854	1287.340404
348	916.9220901	1287.326031
349	916.9050375	1287.308858
350	916.8538798	1287.291809
351	916.8531758	1287.28764
352	916.8546621	1287.285524
353	916.8531758	1287.285213
354	916.6776439	1287.176441
355	916.6789737	1287.176316
356	916.6425219	1287.127465
357	916.6428348	1287.126905
358	916.5524875	1287.038471
359	916.5526439	1287.031376
360	916.5272215	1287.027081
361	916.4951502	1286.982021
362	916.4619837	1286.950839
363	916.3961202	1286.869427
364	916.4010482	1286.865567
365	916.3759387	1286.862331
366	916.3759387	1286.862269
367	916.1827284	1286.601126
368	916.1821809	1286.601002
369	916.0373123	1286.476232
370	916.0318367	1286.471998
