iter	Passed	Remaining
0	37	37653
1	70	35043
2	76	25541
3	111	27853
4	121	24105
5	156	25915
6	161	22933
7	195	24215
8	201	22163
9	232	23004
10	239	21544
11	285	23521
12	291	22118
13	324	22872
14	330	21703
15	380	23404
16	393	22732
17	427	23315
18	433	22378
19	474	23250
20	482	22495
21	516	22970
22	522	22194
23	557	22681
24	564	22018
25	598	22412
26	604	21790
27	637	22144
28	643	21554
29	678	21937
30	688	21521
31	730	22098
32	738	21649
33	771	21926
34	779	21487
35	813	21788
36	820	21352
37	852	21593
38	889	21906
39	911	21877
40	960	22458
41	981	22397
42	1014	22587
43	1023	22248
44	1056	22429
45	1063	22065
46	1100	22318
47	1121	22240
48	1165	22623
49	1201	22819
50	1208	22483
51	1241	22632
52	1251	22369
53	1283	22489
54	1289	22158
55	1329	22413
56	1336	22118
57	1372	22285
58	1378	21980
59	1410	22104
60	1416	21809
61	1449	21925
62	1455	21642
63	1489	21780
64	1505	21662
65	1555	22008
66	1563	21773
67	1600	21940
68	1606	21672
69	1639	21776
70	1651	21605
71	1685	21721
72	1692	21492
73	1724	21582
74	1738	21440
75	1772	21553
76	1784	21394
77	1827	21600
78	1834	21385
79	1860	21400
80	1893	21486
81	1901	21286
82	1933	21365
83	1942	21177
84	1975	21260
85	1984	21091
86	2025	21253
87	2033	21069
88	2066	21149
89	2083	21070
90	2115	21134
91	2128	21003
92	2161	21078
93	2167	20886
94	2210	21059
95	2221	20921
96	2255	20996
97	2263	20829
98	2295	20894
99	2302	20719
100	2340	20836
101	2346	20660
102	2379	20726
103	2387	20568
104	2424	20668
105	2435	20538
106	2469	20606
107	2474	20439
108	2506	20487
109	2511	20323
110	2543	20374
111	2570	20383
112	2608	20477
113	2615	20326
114	2650	20397
115	2660	20277
116	2693	20331
117	2699	20178
118	2732	20229
119	2738	20083
120	2750	19984
121	2783	20032
122	2790	19898
123	2824	19954
124	2830	19811
125	2866	19880
126	2871	19742
127	2906	19801
128	2914	19675
129	2946	19716
130	2954	19597
131	3000	19729
132	3008	19613
133	3042	19662
134	3052	19559
135	3089	19624
136	3097	19512
137	3118	19480
138	3158	19562
139	3163	19433
140	3196	19471
141	3202	19348
142	3236	19396
143	3242	19272
144	3275	19314
145	3283	19207
146	3324	19289
147	3331	19179
148	3371	19253
149	3378	19145
150	3413	19189
151	3420	19080
152	3437	19029
153	3449	18952
154	3457	18848
155	3493	18898
156	3499	18788
157	3531	18817
158	3540	18727
159	3577	18784
160	3584	18678
161	3616	18705
162	3622	18602
163	3654	18630
164	3660	18525
165	3691	18545
166	3703	18474
167	3731	18480
168	3770	18542
169	3777	18445
170	3810	18475
171	3816	18373
172	3847	18394
173	3853	18294
174	3884	18310
175	3891	18220
176	3922	18240
177	3934	18171
178	3982	18267
179	3988	18168
180	4019	18189
181	4025	18093
182	4057	18113
183	4062	18017
184	4094	18039
185	4101	17948
186	4147	18029
187	4154	17943
188	4197	18011
189	4207	17935
190	4242	17970
191	4249	17882
192	4284	17916
193	4293	17839
194	4330	17877
195	4339	17801
196	4391	17900
197	4402	17830
198	4418	17785
199	4427	17710
200	4452	17699
201	4480	17700
202	4518	17739
203	4527	17665
204	4564	17702
205	4574	17630
206	4611	17665
207	4620	17595
208	4655	17619
209	4665	17552
210	4675	17482
211	4710	17510
212	4718	17435
213	4753	17459
214	4761	17384
215	4801	17425
216	4806	17343
217	4847	17388
218	4856	17320
219	4895	17355
220	4929	17374
221	4935	17297
222	4967	17309
223	4974	17234
224	5008	17252
225	5015	17175
226	5051	17201
227	5059	17130
228	5071	17074
229	5093	17050
230	5126	17066
231	5135	16998
232	5170	17019
233	5176	16946
234	5216	16981
235	5224	16912
236	5268	16959
237	5282	16911
238	5308	16903
239	5319	16843
240	5331	16789
241	5367	16812
242	5374	16744
243	5417	16784
244	5423	16713
245	5456	16724
246	5462	16653
247	5500	16680
248	5508	16614
249	5519	16558
250	5552	16567
251	5561	16507
252	5611	16567
253	5636	16554
254	5669	16564
255	5690	16537
256	5718	16531
257	5770	16595
258	5786	16555
259	5848	16644
260	5869	16619
261	5900	16621
262	5930	16620
263	5999	16727
264	6020	16697
265	6080	16779
266	6117	16793
267	6172	16858
268	6195	16835
269	6261	16930
270	6280	16895
271	6337	16961
